"nom","sexe","date_naissance","num_deptmt","parti_ratt_financier","nb_mandats","semaines_presence","commission_presences","commission_interventions","hemicycle_interventions","hemicycle_interventions_courtes","amendements_signes","amendements_adoptes","rapports","propositions_ecrites","propositions_signees","questions_ecrites","questions_orales","semaines_presence_S","commission_presences_S","commission_interventions_S","hemicycle_interventions_S","hemicycle_interventions_courtes_S","amendements_signes_S","amendements_adoptes_S","rapports_S","propositions_ecrites_S","propositions_signees_S","questions_ecrites_S","questions_orales_S","score"
"Jean-Marc Fournel","H","1958-12-09",54,"Parti socialiste",3,30,58,11,3,1,41,8,0,0,25,3,2,0.391924655181495,0.332283334515037,-0.555561113294423,-0.48457068815505,-0.202119332014876,-1.11498402552186,-0.568155443000495,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.265144960164546,-0.319903730318647,16.0512245844429
"Christian Paul","H","1960-03-23",58,"Parti socialiste",3,25,34,32,59,64,254,67,1,0,26,21,0,-0.324248345098144,-0.58095430454324,-0.309841552874417,-0.146349928757864,-0.105358403098249,-0.674852251749231,-0.0686034482824453,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.119177512417992,-1.16074794916118,16.0144307420248
"Christophe Borgel","H","1963-09-03",31,"Parti socialiste",2,29,42,5,11,21,70,28,0,0,26,3,3,0.248690055125567,-0.276541758190481,-0.625766701985853,-0.436253436812595,-0.171401576803248,-1.0550599812054,-0.398815783774037,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.265144960164546,0.100518379102617,15.957481211725
"Frédéric Roig","H","1969-05-18",34,"Parti socialiste",2,26,48,9,6,1,352,49,0,0,27,32,1,-0.181013745042216,-0.0482323484259115,-0.578962976191566,-0.46645171890163,-0.202119332014876,-0.472350308886705,-0.221009141586257,-0.648157681501089,-0.380968156057908,-0.0855931177805807,-0.0299751832395413,-0.740325839739912,15.9438626917758
"Bernard Deflesselles","H","1953-10-16",13,"Les Républicains",2,27,35,8,1,53,504,13,1,0,32,9,0,-0.0377791449862886,-0.542902736249145,-0.590663907640138,-0.496650000990664,-0.122253168464644,-0.158265662814216,-0.52582052819388,-0.0144302266753489,-0.380968156057908,0.189788891196013,-0.216489144249028,-1.16074794916118,15.9389348000701
"Guy Delcourt","H","1947-07-13",62,"Parti socialiste",3,21,42,20,17,7,236,49,0,0,27,40,3,-0.897186745321855,-0.276541758190481,-0.450252730257278,-0.400015498305754,-0.192904005451388,-0.712046486152552,-0.221009141586257,-0.648157681501089,-0.380968156057908,-0.0855931177805807,0.0348992379811498,0.100518379102617,15.763291827081
"Marc Francina","H","1948-02-02",74,"Les Républicains",3,22,34,5,0,12,595,16,0,0,51,23,0,-0.753952145265927,-0.58095430454324,-0.625766701985853,-0.502689657408471,-0.185224566648481,0.0297718555581295,-0.500419579309912,-0.648157681501089,-0.380968156057908,1.23624052530707,-0.102958907112819,-1.16074794916118,15.649805780824
"Germinal Peiro","H","1953-09-15",24,"Parti socialiste",3,23,37,67,92,76,159,34,1,0,26,5,0,-0.610717545209999,-0.466799599660955,0.0996910478255919,0.0529587330297641,-0.0869277499712727,-0.871155155544536,-0.3480138860061,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.248926354859374,-1.16074794916118,15.6476635045669
"Martine Faure","F","1948-09-30",33,"Parti socialiste",2,26,44,21,6,0,217,60,0,0,25,106,0,-0.181013745042216,-0.200438621602291,-0.438551798808706,-0.46645171890163,-0.203655219775457,-0.751307066911613,-0.127872329011705,-0.648157681501089,-0.380968156057908,-0.195745921371218,0.570113213051851,-1.16074794916118,15.6279473233174
"René Rouquet","H","1946-02-15",94,"Parti socialiste",3,15,23,0,1,0,6,2,4,0,26,173,1,-1.75659434565742,-0.999521555778284,-0.684271359228712,-0.496650000990664,-0.203655219775457,-1.18730614797277,-0.618957340768432,1.88675213780187,-0.380968156057908,-0.140669519575899,1.11343649077514,-0.740325839739912,15.5696225487842
"Franck Riester","H","1974-01-03",77,"Les Républicains",3,25,34,37,30,49,523,16,0,0,29,5,1,-0.324248345098144,-0.58095430454324,-0.251336895631559,-0.321499964874264,-0.12839671950697,-0.119005082055155,-0.500419579309912,-0.648157681501089,-0.380968156057908,0.0245596858100567,-0.248926354859374,-0.740325839739912,15.5429422820724
"Nicolas Bays","H","1977-05-01",62,"Parti socialiste",3,27,38,23,9,18,163,37,1,0,26,4,1,-0.0377791449862886,-0.42874803136686,-0.415149935911563,-0.448332749648209,-0.176009240084992,-0.862889770121576,-0.322612937122131,-0.0144302266753489,-0.380968156057908,-0.140669519575899,-0.25703565751196,-0.740325839739912,15.5300949385511
"François Cornut-Gentille","H","1958-05-22",52,"Les Républicains",3,25,43,11,5,4,516,14,1,0,7,99,1,-0.324248345098144,-0.238490189896386,-0.555561113294423,-0.472491375319436,-0.197511668733132,-0.133469506545335,-0.517353545232557,-0.0144302266753489,-0.380968156057908,-1.18712115368695,0.513348094483746,-0.740325839739912,15.4724087449853
"Colette Langlade","F","1956-06-20",24,"Parti socialiste",3,28,40,29,11,4,118,37,0,0,25,2,2,0.105455455069639,-0.352644894778671,-0.344944347220132,-0.436253436812595,-0.197511668733132,-0.955875356129879,-0.322612937122131,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.273254262817133,-0.319903730318647,15.2925792924056
"Nathalie Chabanne","F","1973-01-03",64,"Parti socialiste",1,26,47,14,8,2,493,55,0,0,25,16,0,-0.181013745042216,-0.0862839167200064,-0.520458318948708,-0.454372406066016,-0.200583444254295,-0.180995472727357,-0.17020724381832,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.159724025680923,-1.16074794916118,15.2515383784537
"Jean-Paul Dupré","H","1944-02-05",11,"Parti socialiste",3,27,49,24,3,0,194,23,0,0,26,29,1,-0.0377791449862886,-0.0101807801318166,-0.403449004462991,-0.48457068815505,-0.203655219775457,-0.798833033093634,-0.441150698580652,-0.648157681501089,-0.380968156057908,-0.140669519575899,-0.0543030911973005,-0.740325839739912,15.2398787761476
"Sylviane Bulteau","F","1964-04-21",85,"Parti socialiste",2,21,35,32,24,8,230,131,0,0,25,3,2,-0.897186745321855,-0.542902736249145,-0.309841552874417,-0.357737903381105,-0.191368117690806,-0.724444564286992,0.473283461242218,-0.648157681501089,-0.380968156057908,-0.195745921371218,-0.265144960164546,-0.319903730318647,15.2007035464694
